Id,ActivityHour,StepTotal
1503960366,3/12/2016 0:00,0
1503960366,3/12/2016 1:00,0
1503960366,3/12/2016 2:00,0
1503960366,3/12/2016 3:00,0
1503960366,3/12/2016 4:00,0
1503960366,3/12/2016 5:00,0
1503960366,3/12/2016 6:00,0
1503960366,3/12/2016 7:00,0
1503960366,3/12/2016 8:00,0
1503960366,3/12/2016 9:00,8
1503960366,3/12/2016 10:00,551
1503960366,3/12/2016 11:00,1764
1503960366,3/12/2016 12:00,1259
1503960366,3/12/2016 13:00,253
1503960366,3/12/2016 14:00,4470
1503960366,3/12/2016 15:00,4919
1503960366,3/12/2016 16:00,1905
1503960366,3/12/2016 17:00,1038
1503960366,3/12/2016 18:00,14
1503960366,3/12/2016 19:00,606
1503960366,3/12/2016 20:00,56
1503960366,3/12/2016 21:00,782
1503960366,3/12/2016 22:00,1132
1503960366,3/12/2016 23:00,918
1503960366,3/13/2016 0:00,39
1503960366,3/13/2016 1:00,0
1503960366,3/13/2016 2:00,27
1503960366,3/13/2016 3:00,0
1503960366,3/13/2016 4:00,0
1503960366,3/13/2016 5:00,0
1503960366,3/13/2016 6:00,0
1503960366,3/13/2016 7:00,0
1503960366,3/13/2016 8:00,6
1503960366,3/13/2016 9:00,73
1503960366,3/13/2016 10:00,2850
1503960366,3/13/2016 11:00,4854
1503960366,3/13/2016 12:00,24
1503960366,3/13/2016 13:00,118
1503960366,3/13/2016 14:00,19
1503960366,3/13/2016 15:00,510
1503960366,3/13/2016 16:00,510
1503960366,3/13/2016 17:00,96
1503960366,3/13/2016 18:00,4100
1503960366,3/13/2016 19:00,1756
1503960366,3/13/2016 20:00,477
1503960366,3/13/2016 21:00,147
1503960366,3/13/2016 22:00,214
1503960366,3/13/2016 23:00,1286
1503960366,3/14/2016 0:00,54
1503960366,3/14/2016 1:00,53
1503960366,3/14/2016 2:00,0
1503960366,3/14/2016 3:00,0
1503960366,3/14/2016 4:00,0
1503960366,3/14/2016 5:00,0
1503960366,3/14/2016 6:00,0
1503960366,3/14/2016 7:00,53
1503960366,3/14/2016 8:00,212
1503960366,3/14/2016 9:00,2832
1503960366,3/14/2016 10:00,43
1503960366,3/14/2016 11:00,220
1503960366,3/14/2016 12:00,181
1503960366,3/14/2016 13:00,12
1503960366,3/14/2016 14:00,44
1503960366,3/14/2016 15:00,205
1503960366,3/14/2016 16:00,152
1503960366,3/14/2016 17:00,226
1503960366,3/14/2016 18:00,516
1503960366,3/14/2016 19:00,559
1503960366,3/14/2016 20:00,1104
1503960366,3/14/2016 21:00,252
1503960366,3/14/2016 22:00,0
1503960366,3/14/2016 23:00,3305
1503960366,3/15/2016 0:00,33
1503960366,3/15/2016 1:00,20
1503960366,3/15/2016 2:00,60
1503960366,3/15/2016 3:00,0
1503960366,3/15/2016 4:00,7
1503960366,3/15/2016 5:00,0
1503960366,3/15/2016 6:00,4
1503960366,3/15/2016 7:00,11
1503960366,3/15/2016 8:00,470
1503960366,3/15/2016 9:00,1967
1503960366,3/15/2016 10:00,729
1503960366,3/15/2016 11:00,659
1503960366,3/15/2016 12:00,1787
1503960366,3/15/2016 13:00,333
1503960366,3/15/2016 14:00,980
1503960366,3/15/2016 15:00,371
1503960366,3/15/2016 16:00,605
1503960366,3/15/2016 17:00,623
1503960366,3/15/2016 18:00,467
1503960366,3/15/2016 19:00,282
1503960366,3/15/2016 20:00,3319
1503960366,3/15/2016 21:00,1558
1503960366,3/15/2016 22:00,786
1503960366,3/15/2016 23:00,313
1503960366,3/16/2016 0:00,0
1503960366,3/16/2016 1:00,0
1503960366,3/16/2016 2:00,4
1503960366,3/16/2016 3:00,0
1503960366,3/16/2016 4:00,0
1503960366,3/16/2016 5:00,0
1503960366,3/16/2016 6:00,0
1503960366,3/16/2016 7:00,70
1503960366,3/16/2016 8:00,490
1503960366,3/16/2016 9:00,1513
1503960366,3/16/2016 10:00,224
1503960366,3/16/2016 11:00,874
1503960366,3/16/2016 12:00,1451
1503960366,3/16/2016 13:00,329
1503960366,3/16/2016 14:00,61
1503960366,3/16/2016 15:00,456
1503960366,3/16/2016 16:00,775
1503960366,3/16/2016 17:00,1446
1503960366,3/16/2016 18:00,2407
1503960366,3/16/2016 19:00,103
1503960366,3/16/2016 20:00,447
1503960366,3/16/2016 21:00,2120
